Sales Person,Industry,Q1 Quota Split,Q2 Quota Split,Q3 Quota Split,Q4 Quota Split,REVENUE SIZE,COMMISSION SPLIT (TCV),COMMISSION SPLIT(ACV)
Elsie KILLEBREW,Banking,23%,27%,25%,25%,"100,000,000",0%,95%
Alexandra JOSHUA,Biomedical,25%,25%,25%,25%,"2,000,000",0%,95%
Ryleigh HOULIHAN,Agriculture,15%,20%,35%,30%,"1,000,000",0%,94%
Faith HOBBY,Technology Services,22%,28%,25%,25%,"5,000,000",0%,97%
Norah HINCKLEY,Biomedical,25%,25%,25%,25%,"2,000,000",0%,93%
Margot HEROD,Construction,15%,25%,35%,25%,"10,000,000,000",0%,93%
Zuri HEPLER,Technology Hardware,20%,25%,30%,25%,"100,000,000",0%,92%
Journee HAMNER,Insurance,25%,30%,20%,25%,"2,000,000",0%,96%
Aspen HAMMEL,Fishing,30%,30%,20%,20%,"100,000,000,000",0%,94%
Gemma HALLOWELL,Security Hardware,20%,25%,30%,25%,"500,000",0%,93%
Kylie GONSALEZ,Technology Services,22%,28%,25%,25%,"100,000,000,000",0%,92%
Molly GINGERICH,Technology Hardware,20%,25%,30%,25%,"10,000,000,000",0%,89%
Blake GAMBILL,Oil and Gas,25%,25%,25%,25%,0,0%,90%
Zara FUNKHOUSER,Education,30%,25%,15%,30%,0,0%,89%
Alaina FRICKE,Medical Equipment,25%,25%,25%,25%,"50,000,000",0%,95%
Alana FEWELL,Pharmaceuticals,25%,25%,25%,25%,"100,000,000,000",0%,91%
Brynlee FALKNER,Biotechnology,24%,26%,25%,25%,"10,000,000",0%,91%
Amy ENDSLEY,Mining,24%,26%,25%,25%,"10,000,000",0%,97%
Annie DULIN,Security Hardware,20%,25%,30%,25%,"500,000",0%,95%
Saylor DRENNEN,Other,25%,25%,25%,25%,"50,000,000",0%,90%
Ana DEAVER,Technology Hardware,20%,25%,30%,25%,"500,000",93%,0%
Amira DAMBROSIO,Appliances,22%,28%,25%,25%,"100,000,000",0%,94%
Kimberly CLOVER,Healthcare,24%,26%,25%,25%,"1,000,000,000",0%,99%
Noelle CHADWELL,Travel,20%,30%,30%,20%,"100,000,000,000",0%,93%
Kamila CEASAR,Oil and Gas,25%,25%,25%,25%,"10,000,000,000",0%,95%
Morgan CASTANON,Financial Services,20%,28%,25%,25%,"500,000",0%,99%
Phoebe CANON,Biotechnology,24%,26%,25%,25%,"50,000,000",0%,95%
Harmony BURKES,Technology Services,22%,28%,25%,25%,"2,000,000",0%,91%
Sutton BRUNE,Financial Services,20%,28%,25%,25%,"2,000,000",0%,92%
Taylor BRISCO,Oil and Gas,25%,25%,25%,25%,0,0%,95%
Finley BRINKER,Pharmaceuticals,25%,25%,25%,25%,"50,000,000",0%,92%
Lilah BOWKER,Education,30%,25%,15%,30%,0,0%,94%
Juliana BOLDT,Biotechnology,24%,26%,25%,25%,"2,000,000",0%,91%
Lila BERNER,Technology Hardware,20%,25%,30%,25%,"500,000",96%,0%
Londyn BEE,Biomedical,25%,25%,25%,25%,"5,000,000",0%,89%
Kailani BEAUMONT,Construction,15%,25%,35%,25%,0,0%,92%
Vera BEAIRD,Fishing,30%,30%,20%,20%,"1,000,000",0%,91%
Kaia BAZEMORE,Security Hardware,20%,25%,30%,25%,"100,000,000,000",0%,95%
Angela BARRICK,Fishing,30%,30%,20%,20%,"50,000,000",0%,97%
Hallie ARNETTE,Software,23%,27%,25%,25%,"10,000,000",0%,98%
Diana ALBANO,Technology Hardware,20%,25%,30%,25%,0,91%,0%
Lennon YOUNTS,Technology Services,22%,28%,25%,25%,"500,000",0%,97%
Presley WUNDERLICH,Biomedical,25%,25%,25%,25%,"10,000,000,000",0%,90%
Arabella WEIDMAN,Financial Services,20%,28%,25%,25%,"2,000,000",0%,94%
Aliyah VANNESS,Pharmaceuticals,25%,25%,25%,25%,"100,000,000",0%,89%
Lilly TU,Security Hardware,20%,25%,30%,25%,"10,000,000",0%,93%
Milani TOLAND,Security Software,22%,28%,25%,25%,"50,000,000",0%,92%
Jordyn THEOBALD,Appliances,22%,28%,25%,25%,"1,000,000",0%,90%
Camille STICKLER,Mining,24%,26%,25%,25%,0,0%,92%
Ariel STEIGER,Banking,23%,27%,25%,25%,"5,000,000",0%,88%
Aubree STANGER,Agriculture,15%,20%,35%,30%,"100,000,000",0%,93%
Selena SPIES,Biomedical,25%,25%,25%,25%,0,0%,89%
Sawyer SPECTOR,Healthcare,24%,26%,25%,25%,"500,000",0%,92%
Nyla SOLLARS,Insurance,25%,30%,20%,25%,"10,000,000,000",0%,89%
Delaney SMEDLEY,Healthcare,24%,26%,25%,25%,"2,000,000",0%,94%
Mariana SEIBEL,Security Hardware,20%,25%,30%,25%,"1,000,000",0%,97%
Rachel SCOVILLE,Biotechnology,24%,26%,25%,25%,0,0%,94%
Adaline SAITO,Biotechnology,24%,26%,25%,25%,"500,000",0%,93%
Leila RYE,Software,23%,27%,25%,25%,"5,000,000",90%,45%
Collins RUMMEL,Insurance,25%,30%,20%,25%,"1,000,000",0%,100%
Lia RUDE,Fishing,30%,30%,20%,20%,"2,000,000",0%,92%
Octavia ROWLES,Pharmaceuticals,25%,25%,25%,25%,"5,000,000",0%,94%
Kali ROULEAU,Construction,15%,25%,35%,25%,"100,000,000",0%,99%
Lena ROOS,Insurance,25%,30%,20%,25%,"10,000,000",0%,91%
Kiara ROGAN,Software,23%,27%,25%,25%,"100,000,000,000",0%,91%
Kaylani ROEMER,Insurance,25%,30%,20%,25%,"1,000,000",0%,97%
Elaina REAM,Biomedical,25%,25%,25%,25%,"1,000,000,000",0%,93%
Daniela RAYA,Security Software,22%,28%,25%,25%,"2,000,000",0%,96%
Leia PURKEY,Construction,15%,25%,35%,25%,"50,000,000",0%,97%
Gracie PRIESTER,Education,30%,25%,15%,30%,"10,000,000",0%,97%
Dakota PERREIRA,Medical Equipment,25%,25%,25%,25%,0,0%,92%
Elise PENICK,Security Hardware,20%,25%,30%,25%,"5,000,000",0%,97%
Hope PAULIN,Automotive,20%,25%,30%,25%,"1,000,000,000",0%,99%
Harlow PARKINS,Automotive,20%,25%,30%,25%,"2,000,000",0%,97%
Lola OVERCASH,Agriculture,15%,20%,35%,30%,"500,000",0%,90%
Stevie OLESON,Automotive,20%,25%,30%,25%,"500,000",0%,95%
Malia NICELY,Construction,15%,25%,35%,25%,"100,000,000",0%,90%
Miriam NEVES,Mining,24%,26%,25%,25%,"10,000,000",0%,94%
Alora MULDROW,Insurance,25%,30%,20%,25%,"500,000",0%,99%
Gia MINARD,Education,30%,25%,15%,30%,0,0%,99%
Evangeline MIDGETT,Healthcare,24%,26%,25%,25%,"10,000,000",0%,90%
Brooke MICHALAK,Security Software,22%,28%,25%,25%,"500,000",0%,96%
Lilith MELGAR,Appliances,22%,28%,25%,25%,"100,000,000,000",0%,100%
Sydney MCENTIRE,Healthcare,24%,26%,25%,25%,"100,000,000,000",0%,99%
Ophelia MCAULIFFE,Oil and Gas,25%,25%,25%,25%,"5,000,000",0%,93%
Alayna MARTI,Financial Services,20%,28%,25%,25%,"10,000,000",0%,94%
Tatum MARTE,Alcohol,20%,20%,30%,30%,"100,000,000",0%,98%
Evie LYDON,Construction,15%,25%,35%,25%,"1,000,000",0%,95%
Rowan LINDHOLM,Financial Services,20%,28%,25%,25%,"2,000,000",0%,90%
Marley LEYBA,Medical Equipment,25%,25%,25%,25%,"5,000,000",0%,98%
Daphne LEADER,Software,23%,27%,25%,25%,"1,000,000,000",0%,98%
Kayla LANGEVIN,Medical Equipment,25%,25%,25%,25%,"2,000,000",0%,90%
Dahlia LAGASSE,Medical Equipment,25%,25%,25%,25%,"2,000,000",0%,97%
Lucille LAFAYETTE,Oil and Gas,25%,25%,25%,25%,"100,000,000,000",0%,91%
Blair KESLER,Oil and Gas,25%,25%,25%,25%,"50,000,000",0%,89%
Adelaide KELTON,Security Software,22%,28%,25%,25%,"50,000,000",0%,92%
Wrenley KAO,Agriculture,15%,20%,35%,30%,"10,000,000,000",0%,91%
Haven KAMINSKY,Biotechnology,24%,26%,25%,25%,"10,000,000,000",0%,90%
Teagan JUMP,Medical Equipment,25%,25%,25%,25%,"5,000,000",0%,99%
Adelyn JAGGERS,Agriculture,15%,20%,35%,30%,"100,000,000",0%,96%
Alyssa HUMBERT,Appliances,22%,28%,25%,25%,"50,000,000",0%,98%
Payton HUCK,Technology Hardware,20%,25%,30%,25%,"1,000,000,000",0%,95%
Jane HOWARTH,Fishing,30%,30%,20%,20%,"10,000,000",0%,90%
Mckenna HINRICHS,Security Hardware,20%,25%,30%,25%,"500,000",0%,94%
Celeste HIGLEY,Security Software,22%,28%,25%,25%,"500,000",0%,95%
Juliet GUPTON,Oil and Gas,25%,25%,25%,25%,"1,000,000,000",0%,90%
Palmer GUIMOND,Biotechnology,24%,26%,25%,25%,"500,000",0%,92%
Maggie GRAVOIS,Appliances,22%,28%,25%,25%,"100,000,000,000",0%,99%
Rebecca GIGUERE,Medical Equipment,25%,25%,25%,25%,"1,000,000",0%,98%
London FRETWELL,Construction,15%,25%,35%,25%,"1,000,000",0%,91%
Noa FONTES,Healthcare,24%,26%,25%,25%,"10,000,000,000",0%,96%
Samara FEELEY,Education,30%,25%,15%,30%,"10,000,000",0%,94%
Thea FAUCHER,Fishing,30%,30%,20%,20%,"1,000,000,000",0%,96%
Kendall FALL,Medical Equipment,25%,25%,25%,25%,"2,000,000",0%,97%
Mya EVAN,Oil and Gas,25%,25%,25%,25%,"2,000,000",0%,92%
Talia EICHHORN,Alcohol,20%,20%,30%,30%,"10,000,000,000",0%,98%
Winter ECKER,Technology Hardware,20%,25%,30%,25%,"10,000,000,000",0%,100%
Angelina EARP,Agriculture,15%,20%,35%,30%,"1,000,000,000",0%,97%
Vivienne DOLE,Medical Equipment,25%,25%,25%,25%,"100,000,000",0%,90%
Esme DINGER,Technology Hardware,20%,25%,30%,25%,"10,000,000",0%,89%
Laila DERRYBERRY,Agriculture,15%,20%,35%,30%,"1,000,000,000",0%,90%
Nina DEMARS,Education,30%,25%,15%,30%,0,0%,90%
Trinity DEEL,Financial Services,20%,28%,25%,25%,"50,000,000",0%,93%
Vanessa COPENHAVER,Security Hardware,20%,25%,30%,25%,"1,000,000,000",0%,96%
Mabel COLLINSWORTH,Insurance,25%,30%,20%,25%,"100,000,000",0%,89%
Camilla COLANGELO,Mining,24%,26%,25%,25%,"100,000,000",0%,98%
Jocelyn CLOYD,Technology Services,22%,28%,25%,25%,"500,000",0%,98%
Journey CLAIBORNE,Medical Equipment,25%,25%,25%,25%,"2,000,000",0%,98%
Paige CAULFIELD,Technology Services,22%,28%,25%,25%,"1,000,000",0%,98%
Phoenix CARLSEN,Medical Equipment,25%,25%,25%,25%,"500,000",0%,92%
Amina CALZADA,Education,30%,25%,15%,30%,"100,000,000,000",0%,93%
Alivia CAFFEY,Medical Equipment,25%,25%,25%,25%,"100,000,000",0%,97%
Amari BROADUS,Healthcare,24%,26%,25%,25%,"1,000,000",0%,98%
Joanna BRENNEMAN,Banking,23%,27%,25%,25%,"2,000,000",0%,89%
Nicole BOUIE,Automotive,20%,25%,30%,25%,"10,000,000,000",0%,92%
Annabelle BODNAR,Software,23%,27%,25%,25%,"10,000,000",0%,89%
Raegan BLANEY,Security Software,22%,28%,25%,25%,"10,000,000",0%,97%
Aitana BLANC,Travel,20%,30%,30%,20%,"5,000,000",0%,93%
Julianna BLADES,Technology Hardware,20%,25%,30%,25%,"500,000",98%,0%
Lauren BELTZ,Agriculture,15%,20%,35%,30%,"10,000,000",0%,90%
Catherine BEHLING,Security Hardware,20%,25%,30%,25%,"10,000,000,000",0%,92%
Adriana BEGIN,Agriculture,15%,20%,35%,30%,"500,000",0%,92%
Madilyn BARAHONA,Security Hardware,20%,25%,30%,25%,0,0%,96%
Harley YUN,Mining,24%,26%,25%,25%,"500,000",0%,94%
Tessa YOCKEY,Healthcare,24%,26%,25%,25%,0,0%,91%
Evelynn WINKLE,Banking,23%,27%,25%,25%,"1,000,000",0%,89%
Elianna WINDOM,Travel,20%,30%,30%,20%,"100,000,000,000",0%,91%
Rory WIMER,Appliances,22%,28%,25%,25%,"1,000,000,000",0%,97%
Dream WILFORD,Software,23%,27%,25%,25%,"500,000",88%,0%
Nayeli WASH,Biomedical,25%,25%,25%,25%,"100,000,000",0%,90%
Poppy VILLATORO,Education,30%,25%,15%,30%,"50,000,000",0%,92%
Gabriela TREXLER,Construction,15%,25%,35%,25%,"100,000,000",0%,91%
Jayla TERAN,Oil and Gas,25%,25%,25%,25%,"50,000,000",0%,92%
Cataleya TALIAFERRO,Financial Services,20%,28%,25%,25%,"1,000,000",0%,91%
Celine SYDNOR,Oil and Gas,25%,25%,25%,25%,"5,000,000",0%,89%
Hayden SWINSON,Medical Equipment,25%,25%,25%,25%,"2,000,000",0%,99%
Shiloh SNELLING,Biomedical,25%,25%,25%,25%,"10,000,000,000",0%,91%
Mariah SMTIH,Security Software,22%,28%,25%,25%,"1,000,000",0%,95%
Charlee SIU,Security Hardware,20%,25%,30%,25%,"1,000,000,000",0%,93%
Maisie SIMONTON,Construction,15%,25%,35%,25%,"500,000",0%,91%
Regina SIMONEAUX,Security Software,22%,28%,25%,25%,"5,000,000",0%,97%
Adelynn SIMONEAU,Technology Hardware,20%,25%,30%,25%,"10,000,000",0%,99%
Briella SHERRER,Travel,20%,30%,30%,20%,"10,000,000",0%,92%
Giselle SEAVEY,Appliances,22%,28%,25%,25%,"1,000,000",0%,94%
Fatima SCHEEL,Mining,24%,26%,25%,25%,"2,000,000",0%,97%
Danna RUSHTON,Security Hardware,20%,25%,30%,25%,"10,000,000",0%,95%
Alessia RUPE,Pharmaceuticals,25%,25%,25%,25%,"1,000,000",0%,99%
Mckenzie RUANO,Technology Services,22%,28%,25%,25%,"100,000,000",0%,95%
Wynter RODNEY,Insurance,25%,30%,20%,25%,"100,000,000,000",0%,100%
Fiona RIPPY,Banking,23%,27%,25%,25%,"10,000,000,000",0%,95%
Brooklynn REINER,Insurance,25%,30%,20%,25%,"100,000,000",0%,94%
Gracelynn REIFF,Software,23%,27%,25%,25%,"2,000,000",92%,0%
Luciana RABINOWITZ,Software,23%,27%,25%,25%,"5,000,000",91%,50%
Alexis QUACH,Fishing,30%,30%,20%,20%,"10,000,000",0%,99%
Everlee PENLEY,Pharmaceuticals,25%,25%,25%,25%,"1,000,000",0%,91%
Laura ODLE,Appliances,22%,28%,25%,25%,"10,000,000",0%,91%
Selah NOCK,Biomedical,25%,25%,25%,25%,"1,000,000,000",0%,94%
Reign MINNICH,Mining,24%,26%,25%,25%,"10,000,000,000",0%,100%
Alayah MCKOWN,Travel,20%,30%,30%,20%,"1,000,000,000",0%,92%
Rosemary MCCARVER,Alcohol,20%,20%,30%,30%,"2,000,000",0%,91%
Lilliana MCANDREW,Pharmaceuticals,25%,25%,25%,25%,"50,000,000",0%,92%
Ariyah LONGLEY,Construction,15%,25%,35%,25%,"100,000,000,000",0%,98%
Heidi LAUX,Appliances,22%,28%,25%,25%,"2,000,000",0%,89%
Esmeralda LAMOTHE,Medical Equipment,25%,25%,25%,25%,"10,000,000,000",0%,93%
Logan LAFRENIERE,Travel,20%,30%,30%,20%,"100,000,000",0%,96%
Amora KROPP,Medical Equipment,25%,25%,25%,25%,"5,000,000",0%,91%
Kalani KRICK,Software,23%,27%,25%,25%,"2,000,000",97%,0%
Leighton KATES,Banking,23%,27%,25%,25%,"1,000,000",0%,93%
Cali JEPSON,Construction,15%,25%,35%,25%,"1,000,000,000",0%,94%
Melissa HUIE,Other,25%,25%,25%,25%,"2,000,000",0%,97%
Aniyah HOWSE,Automotive,20%,25%,30%,25%,"2,000,000",0%,96%
Izabella HOWIE,Other,25%,25%,25%,25%,"5,000,000",0%,94%
Michelle HENRIQUES,Biomedical,25%,25%,25%,25%,"2,000,000",0%,93%
Raelyn HAYDON,Biotechnology,24%,26%,25%,25%,"10,000,000",0%,99%
Alessandra HAUGHT,Security Software,22%,28%,25%,25%,"1,000,000,000",0%,90%
Viviana HATTER,Automotive,20%,25%,30%,25%,"1,000,000,000",0%,91%
Madeleine HARTZOG,Insurance,25%,30%,20%,25%,"100,000,000",0%,89%
Arielle HARKEY,Agriculture,15%,20%,35%,30%,"2,000,000",0%,98%
Serena GRIMALDO,Insurance,25%,30%,20%,25%,"5,000,000",0%,95%
Francesca GOSHORN,Banking,23%,27%,25%,25%,"5,000,000",0%,97%
Brynn GORMLEY,Construction,15%,25%,35%,25%,"100,000,000",0%,93%
Gwendolyn GLUCK,Healthcare,24%,26%,25%,25%,"1,000,000,000",0%,92%
Kira GILROY,Banking,23%,27%,25%,25%,"5,000,000",0%,94%
Destiny GILLENWATER,Insurance,25%,30%,20%,25%,"100,000,000,000",0%,93%
Elle GIFFIN,Technology Services,22%,28%,25%,25%,"1,000,000,000",0%,89%
Makayla FOLKS,Security Hardware,20%,25%,30%,25%,"1,000,000,000",0%,99%
Alaya FLUKER,Construction,15%,25%,35%,25%,"5,000,000",0%,97%
Malani FEDER,Pharmaceuticals,25%,25%,25%,25%,"5,000,000",0%,98%
Willa EYRE,Medical Equipment,25%,25%,25%,25%,0,0%,92%
Saige ESHELMAN,Fishing,30%,30%,20%,20%,"100,000,000",0%,91%
Makenna EAKINS,Oil and Gas,25%,25%,25%,25%,"10,000,000",0%,96%
Remington DRYER,Security Hardware,20%,25%,30%,25%,"1,000,000,000",0%,93%
Demi DISNEY,Travel,20%,30%,30%,20%,"10,000,000,000",0%,90%
Adelina DETWILER,Medical Equipment,25%,25%,25%,25%,"10,000,000,000",0%,93%
Raya DELROSARIO,Travel,20%,30%,30%,20%,"2,000,000",0%,98%
Astrid DAVISSON,Financial Services,20%,28%,25%,25%,"10,000,000",0%,90%
Azalea CELESTINE,Healthcare,24%,26%,25%,25%,"2,000,000",0%,98%
Veronica CATALAN,Travel,20%,30%,30%,20%,"50,000,000",0%,99%
Meadow CANNING,Financial Services,20%,28%,25%,25%,0,0%,95%
Anaya CALTON,Biomedical,25%,25%,25%,25%,"100,000,000,000",0%,94%
Elisa BUSTER,Insurance,25%,30%,20%,25%,0,0%,96%
Raven BRAMMER,Insurance,25%,30%,20%,25%,"500,000",0%,96%
Alexandria BOTELHO,Pharmaceuticals,25%,25%,25%,25%,"100,000,000",0%,96%
Hattie BLAKNEY,Technology Hardware,20%,25%,30%,25%,"2,000,000",93%,0%
Alicia BARTELL,Technology Hardware,20%,25%,30%,25%,"50,000,000",0%,96%
Sabrina AVERETT,Software,23%,27%,25%,25%,"1,000,000,000",0%,93%
Gracelyn ASKINS,Appliances,22%,28%,25%,25%,"500,000",0%,94%
Matilda AKER,Education,30%,25%,15%,30%,0,0%,100%
Skye ZAK,Fishing,30%,30%,20%,20%,"2,000,000",0%,91%
Annalise WORCESTER,Automotive,20%,25%,30%,25%,"1,000,000",0%,89%
Frances WITMER,Biotechnology,24%,26%,25%,25%,"1,000,000,000",0%,94%
Miracle WISER,Education,30%,25%,15%,30%,"10,000,000",0%,96%
Maia WINKELMAN,Healthcare,24%,26%,25%,25%,"100,000,000,000",0%,93%
Helen WIDMER,Travel,20%,30%,30%,20%,"2,000,000",0%,97%
Lana WHITTIER,Other,25%,25%,25%,25%,"500,000",0%,89%
Daleyza WESTERN,Travel,20%,30%,30%,20%,"100,000,000",0%,99%
Rosie WEITZEL,Oil and Gas,25%,25%,25%,25%,"1,000,000,000",0%,98%
Charli WARDELL,Mining,24%,26%,25%,25%,"500,000",0%,96%
Bianca WAGERS,Insurance,25%,30%,20%,25%,"1,000,000,000",0%,88%
Royalty ULLMAN,Alcohol,20%,20%,30%,30%,"10,000,000",0%,97%
Sarai TUPPER,Technology Services,22%,28%,25%,25%,"1,000,000",0%,98%
Amiyah TINGLEY,Security Software,22%,28%,25%,25%,"100,000,000,000",0%,97%
Nylah TILGHMAN,Other,25%,25%,25%,25%,"10,000,000,000",0%,94%
Aylin TALTON,Biotechnology,24%,26%,25%,25%,"100,000,000,000",0%,99%
Maryam SIMARD,Other,25%,25%,25%,25%,"2,000,000",0%,95%
Scarlet SEDA,Construction,15%,25%,35%,25%,0,0%,95%
Antonella SCHELLER,Education,30%,25%,15%,30%,"1,000,000",0%,94%
Sylvia SALA,Agriculture,15%,20%,35%,30%,"1,000,000,000",0%,96%
Sylvie RUNDELL,Medical Equipment,25%,25%,25%,25%,"2,000,000",0%,98%
Nadia ROST,Alcohol,20%,20%,30%,30%,"100,000,000,000",0%,89%
Ari ROA,Security Software,22%,28%,25%,25%,"100,000,000",0%,89%
Lexi RIBEIRO,Construction,15%,25%,35%,25%,0,0%,95%
Mylah RABIDEAU,Insurance,25%,30%,20%,25%,0,0%,92%
Julieta PRIMM,Biotechnology,24%,26%,25%,25%,0,0%,99%
Lorelei PORCH,Travel,20%,30%,30%,20%,"10,000,000,000",0%,96%
Avianna POLITE,Security Hardware,20%,25%,30%,25%,"2,000,000",0%,95%
Armani PINON,Software,23%,27%,25%,25%,"100,000,000",0%,91%
Camryn PEART,Biotechnology,24%,26%,25%,25%,"100,000,000,000",0%,95%
Emely OSTROM,Technology Services,22%,28%,25%,25%,"5,000,000",0%,89%
Rylie OBER,Biomedical,25%,25%,25%,25%,"50,000,000",0%,90%
Colette NYSTROM,Education,30%,25%,15%,30%,"500,000",0%,99%
Daniella NUSSBAUM,Healthcare,24%,26%,25%,25%,"1,000,000",0%,91%
Liana NURSE,Medical Equipment,25%,25%,25%,25%,"50,000,000",0%,99%
Brinley NAUGHTON,Medical Equipment,25%,25%,25%,25%,"500,000",0%,88%
Kate MURR,Security Hardware,20%,25%,30%,25%,"10,000,000,000",0%,99%
Salem MOORHEAD,Education,30%,25%,15%,30%,"50,000,000",0%,99%
Marlee MONTI,Security Software,22%,28%,25%,25%,"500,000",0%,97%
Alison MONTEIRO,Insurance,25%,30%,20%,25%,0,0%,97%
Carmen MELSON,Agriculture,15%,20%,35%,30%,"2,000,000",0%,91%
Felicity MEISSNER,Pharmaceuticals,25%,25%,25%,25%,"5,000,000",0%,88%
Fernanda MCLIN,Biomedical,25%,25%,25%,25%,"10,000,000,000",0%,88%
Holly MCGRUDER,Pharmaceuticals,25%,25%,25%,25%,"100,000,000,000",0%,96%
Ariah MAROTTA,Alcohol,20%,20%,30%,30%,"10,000,000",0%,90%
Aisha MAKOWSKI,Insurance,25%,30%,20%,25%,"5,000,000",0%,90%
Kora MAJEWSKI,Biotechnology,24%,26%,25%,25%,"500,000",0%,91%
Amanda MADEWELL,Security Software,22%,28%,25%,25%,"100,000,000,000",0%,96%
Ailani LUNT,Construction,15%,25%,35%,25%,"1,000,000,000",0%,89%
Elaine LUKENS,Education,30%,25%,15%,30%,"1,000,000",0%,92%
Emory LEININGER,Biomedical,25%,25%,25%,25%,"100,000,000,000",0%,95%
Joy LEBEL,Healthcare,24%,26%,25%,25%,0,0%,98%
Oaklee LAKIN,Alcohol,20%,20%,30%,30%,0,0%,96%
Lyric LAGUNA,Agriculture,15%,20%,35%,30%,"5,000,000",0%,93%
Madelynn KEPLER,Banking,23%,27%,25%,25%,"10,000,000",0%,96%
Haisley JAQUES,Medical Equipment,25%,25%,25%,25%,"100,000,000,000",0%,95%
Allie HUNNICUTT,Healthcare,24%,26%,25%,25%,"5,000,000",0%,94%
Helena HUNGERFORD,Technology Hardware,20%,25%,30%,25%,"1,000,000",90%,0%
Danielle HOOPES,Technology Hardware,20%,25%,30%,25%,"10,000,000",0%,97%
Katalina HERTZ,Medical Equipment,25%,25%,25%,25%,"1,000,000",0%,95%
Carolina HEINS,Software,23%,27%,25%,25%,"1,000,000",88%,0%
Zariah HAMMERS,Medical Equipment,25%,25%,25%,25%,"5,000,000",0%,98%
Navy HALLIBURTON,Oil and Gas,25%,25%,25%,25%,"50,000,000",0%,95%
Cassidy GROSSO,Travel,20%,30%,30%,20%,"10,000,000",0%,96%
Lorelai GRAVITT,Medical Equipment,25%,25%,25%,25%,"500,000",0%,90%
Stephanie GLASPER,Travel,20%,30%,30%,20%,"2,000,000",0%,91%
Alma GIDEON,Fishing,30%,30%,20%,20%,"2,000,000",0%,90%
Mira GALLMAN,Agriculture,15%,20%,35%,30%,"10,000,000",0%,90%
Legacy GALLAWAY,Security Software,22%,28%,25%,25%,"500,000",0%,94%
Jolene FUNKE,Medical Equipment,25%,25%,25%,25%,"100,000,000",0%,91%
Anya FULBRIGHT,Software,23%,27%,25%,25%,"10,000,000,000",0%,96%
Dorothy FALGOUT,Alcohol,20%,20%,30%,30%,"100,000,000,000",0%,95%
Paris EAKIN,Technology Services,22%,28%,25%,25%,"500,000",0%,89%
Yaretzi DOSTIE,Mining,24%,26%,25%,25%,"50,000,000",0%,96%
Aurelia DORADO,Banking,23%,27%,25%,25%,"2,000,000",0%,94%
Maddison DEWBERRY,Education,30%,25%,15%,30%,"1,000,000",0%,92%
Renata DEROSE,Construction,15%,25%,35%,25%,0,0%,97%
Jimena CUTSHALL,Travel,20%,30%,30%,20%,"1,000,000,000",0%,95%
Xiomara CRAMPTON,Insurance,25%,30%,20%,25%,0,0%,90%
Itzel COSTANZO,Technology Hardware,20%,25%,30%,25%,"100,000,000",0%,97%
Heaven COLLETTI,Alcohol,20%,20%,30%,30%,0,0%,89%
Lyra CLONINGER,Healthcare,24%,26%,25%,25%,"1,000,000,000",0%,90%
Estella CLAYTOR,Financial Services,20%,28%,25%,25%,"100,000,000,000",0%,92%
Gabrielle CHIANG,Security Software,22%,28%,25%,25%,"100,000,000",0%,89%
Maren CANTERBURY,Medical Equipment,25%,25%,25%,25%,0,0%,96%
Jacqueline CAMPAGNA,Insurance,25%,30%,20%,25%,"2,000,000",0%,88%
Jennifer BURD,Construction,15%,25%,35%,25%,"10,000,000",0%,90%
Imani BROKAW,Travel,20%,30%,30%,20%,"5,000,000",0%,91%
Jordan BROADDUS,Technology Services,22%,28%,25%,25%,"500,000",0%,96%
Paislee BRETZ,Mining,24%,26%,25%,25%,"1,000,000,000",0%,95%
Ainsley BRAINARD,Medical Equipment,25%,25%,25%,25%,"10,000,000,000",0%,98%
Emmy BINFORD,Financial Services,20%,28%,25%,25%,0,0%,92%
Jessica BILBREY,Security Hardware,20%,25%,30%,25%,"100,000,000",0%,91%
Alondra ALPERT,Appliances,22%,28%,25%,25%,"5,000,000",0%,90%
Mae AITKEN,Biotechnology,24%,26%,25%,25%,"5,000,000",0%,99%
Makenzie AHLERS,Mining,24%,26%,25%,25%,"50,000,000",0%,93%
Bristol ZAJAC,Healthcare,24%,26%,25%,25%,"5,000,000",0%,92%
Edith YALE,Oil and Gas,25%,25%,25%,25%,"2,000,000",0%,92%
Cameron WOOLFOLK,Education,30%,25%,15%,30%,"10,000,000",0%,89%
Elora WITTEN,Insurance,25%,30%,20%,25%,"100,000,000",0%,99%
Jazlyn WINDLE,Banking,23%,27%,25%,25%,"1,000,000,000",0%,98%
Averie WAYLAND,Appliances,22%,28%,25%,25%,"100,000,000,000",0%,88%
Ivory TRAMEL,Security Software,22%,28%,25%,25%,"1,000,000,000",0%,88%
Kenzie TITTLE,Financial Services,20%,28%,25%,25%,"5,000,000",0%,99%
Emelia TALAVERA,Appliances,22%,28%,25%,25%,0,0%,93%
Angel SUTER,Technology Hardware,20%,25%,30%,25%,"1,000,000",92%,0%
Cecelia STRALEY,Fishing,30%,30%,20%,20%,"500,000",0%,94%
Maliyah STETSON,Other,25%,25%,25%,25%,"2,000,000",0%,90%
Oakleigh SPECHT,Pharmaceuticals,25%,25%,25%,25%,"100,000,000",0%,94%
Opal SOMMERVILLE,Financial Services,20%,28%,25%,25%,"50,000,000",0%,97%
Oaklyn SOLOMAN,Travel,20%,30%,30%,20%,"50,000,000",0%,98%
Kinley SO,Automotive,20%,25%,30%,25%,"100,000,000",0%,98%
